Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
1,2024-08-19 15:20:48.973834,2024-08-19 15:20:59.303116,10326.1796,2024-08-19 15:20:59.303136,2024-08-19 15:20:59.655222,352.0961,10683.9212
2,2024-08-19 15:20:59.655764,2024-08-19 15:21:00.119060,463.3076,2024-08-19 15:21:00.119073,2024-08-19 15:21:00.442181,323.1152,11470.8779
3,2024-08-19 15:21:00.442211,2024-08-19 15:21:00.861985,419.7868,2024-08-19 15:21:00.861998,2024-08-19 15:21:01.181983,319.9983,12210.6857
4,2024-08-19 15:21:01.182023,2024-08-19 15:21:01.627211,445.2047,2024-08-19 15:21:01.627229,2024-08-19 15:21:01.948782,321.5626,12977.4816
5,2024-08-19 15:21:01.948819,2024-08-19 15:21:02.385258,436.4523,2024-08-19 15:21:02.385272,2024-08-19 15:21:02.707810,322.5473,13736.5082
6,2024-08-19 15:21:02.707876,2024-08-19 15:21:03.142928,435.0624,2024-08-19 15:21:03.142939,2024-08-19 15:21:03.474103,331.1742,14502.802
7,2024-08-19 15:21:03.474138,2024-08-19 15:21:03.931766,457.6372,2024-08-19 15:21:03.931778,2024-08-19 15:21:04.250634,318.8704,15279.3372
8,2024-08-19 15:21:04.250721,2024-08-19 15:21:04.682920,432.2121,2024-08-19 15:21:04.682934,2024-08-19 15:21:05.003421,320.4919,16032.1199
9,2024-08-19 15:21:05.003460,2024-08-19 15:21:05.465335,461.8817,2024-08-19 15:21:05.465343,2024-08-19 15:21:05.788448,323.1118,16817.1438
10,2024-08-19 15:21:05.788483,2024-08-19 15:21:06.230275,441.801,2024-08-19 15:21:06.230285,2024-08-19 15:21:06.546773,316.4973,17575.4711
11,2024-08-19 15:21:06.546828,2024-08-19 15:21:06.977431,430.6091,2024-08-19 15:21:06.977439,2024-08-19 15:21:07.309944,332.5144,18338.6426
12,2024-08-19 15:21:07.309996,2024-08-19 15:21:07.729548,419.5603,2024-08-19 15:21:07.729558,2024-08-19 15:21:08.064698,335.1488,19093.3958
13,2024-08-19 15:21:08.064736,2024-08-19 15:21:08.498676,433.953,2024-08-19 15:21:08.498691,2024-08-19 15:21:08.819885,321.2074,19848.5874
14,2024-08-19 15:21:08.819927,2024-08-19 15:21:09.262753,442.8323,2024-08-19 15:21:09.262760,2024-08-19 15:21:09.583674,320.9212,20612.3704
15,2024-08-19 15:21:09.583720,2024-08-19 15:21:10.024568,440.8525,2024-08-19 15:21:10.024574,2024-08-19 15:21:10.359934,335.3657,21388.6286
16,2024-08-19 15:21:10.359965,2024-08-19 15:21:10.799431,439.4598,2024-08-19 15:21:10.799434,2024-08-19 15:21:11.130659,331.2284,22159.3516
17,2024-08-19 15:21:11.130690,2024-08-19 15:21:11.559060,428.3786,2024-08-19 15:21:11.559069,2024-08-19 15:21:11.871652,312.5861,22900.3438
18,2024-08-19 15:21:11.871720,2024-08-19 15:21:12.304091,432.3742,2024-08-19 15:21:12.304095,2024-08-19 15:21:12.624104,320.0125,23652.7963
19,2024-08-19 15:21:12.624132,2024-08-19 15:21:13.059915,435.7856,2024-08-19 15:21:13.059918,2024-08-19 15:21:13.399799,339.8861,24428.4927
20,2024-08-19 15:21:13.399828,2024-08-19 15:21:13.907330,507.5056,2024-08-19 15:21:13.907334,2024-08-19 15:21:14.228499,321.1734,25257.1961
21,2024-08-19 15:21:14.228528,2024-08-19 15:21:14.662392,433.8665,2024-08-19 15:21:14.662395,2024-08-19 15:21:14.998594,336.2023,26027.2867
22,2024-08-19 15:21:14.998631,2024-08-19 15:21:15.447784,449.1563,2024-08-19 15:21:15.447789,2024-08-19 15:21:15.758807,311.0226,26787.5001
23,2024-08-19 15:21:15.758838,2024-08-19 15:21:16.223487,464.6524,2024-08-19 15:21:16.223491,2024-08-19 15:21:16.533164,309.6766,27561.8568
24,2024-08-19 15:21:16.533194,2024-08-19 15:21:16.970517,437.3267,2024-08-19 15:21:16.970522,2024-08-19 15:21:17.338615,368.0974,28367.3081
25,2024-08-19 15:21:17.338646,2024-08-19 15:21:17.795345,456.7028,2024-08-19 15:21:17.795350,2024-08-19 15:21:18.115791,320.4452,29144.4842
26,2024-08-19 15:21:18.115826,2024-08-19 15:21:18.583712,467.8889,2024-08-19 15:21:18.583716,2024-08-19 15:21:18.914198,330.4854,29942.8907
27,2024-08-19 15:21:18.914237,2024-08-19 15:21:19.362791,448.5569,2024-08-19 15:21:19.362795,2024-08-19 15:21:19.683779,320.9871,30712.4712
28,2024-08-19 15:21:19.683810,2024-08-19 15:21:20.105429,421.6225,2024-08-19 15:21:20.105433,2024-08-19 15:21:20.423681,318.2514,31452.3732
29,2024-08-19 15:21:20.423729,2024-08-19 15:21:20.871241,447.5149,2024-08-19 15:21:20.871244,2024-08-19 15:21:21.199957,328.7161,32228.6491
30,2024-08-19 15:21:21.200002,2024-08-19 15:21:21.637883,437.8847,2024-08-19 15:21:21.637887,2024-08-19 15:21:21.953691,315.8075,32982.383
31,2024-08-19 15:21:21.953719,2024-08-19 15:21:22.384499,430.783,2024-08-19 15:21:22.384502,2024-08-19 15:21:22.705656,321.1562,33734.3473
32,2024-08-19 15:21:22.705679,2024-08-19 15:21:23.158427,452.7519,2024-08-19 15:21:23.158431,2024-08-19 15:21:23.482440,324.0122,34511.1322
33,2024-08-19 15:21:23.482460,2024-08-19 15:21:23.918372,435.9189,2024-08-19 15:21:23.918379,2024-08-19 15:21:24.248499,330.124,35277.1921
34,2024-08-19 15:21:24.248522,2024-08-19 15:21:24.672413,423.8948,2024-08-19 15:21:24.672417,2024-08-19 15:21:25.002954,330.5407,36031.6471
35,2024-08-19 15:21:25.002976,2024-08-19 15:21:25.449441,446.4688,2024-08-19 15:21:25.449445,2024-08-19 15:21:25.771155,321.7139,36799.8484
36,2024-08-19 15:21:25.771178,2024-08-19 15:21:26.205193,434.0101,2024-08-19 15:21:26.205197,2024-08-19 15:21:26.520026,314.8309,37548.7171
37,2024-08-19 15:21:26.520097,2024-08-19 15:21:26.963120,443.026,2024-08-19 15:21:26.963124,2024-08-19 15:21:27.300909,337.7892,38329.6018
38,2024-08-19 15:21:27.300931,2024-08-19 15:21:27.714163,413.2485,2024-08-19 15:21:27.714180,2024-08-19 15:21:28.039498,325.3218,39068.1913
39,2024-08-19 15:21:28.039525,2024-08-19 15:21:28.479246,439.7241,2024-08-19 15:21:28.479250,2024-08-19 15:21:28.815147,335.9004,39843.8399
40,2024-08-19 15:21:28.815170,2024-08-19 15:21:29.239097,423.9306,2024-08-19 15:21:29.239102,2024-08-19 15:21:29.554901,315.8037,40583.5947
41,2024-08-19 15:21:29.554925,2024-08-19 15:21:30.028158,473.2365,2024-08-19 15:21:30.028163,2024-08-19 15:21:30.343844,315.6855,41372.5371
42,2024-08-19 15:21:30.343871,2024-08-19 15:21:30.782874,439.0072,2024-08-19 15:21:30.782879,2024-08-19 15:21:31.097606,314.7315,42126.2999
43,2024-08-19 15:21:31.097630,2024-08-19 15:21:31.546635,449.0099,2024-08-19 15:21:31.546641,2024-08-19 15:21:31.899633,352.9966,42928.3262
44,2024-08-19 15:21:31.899659,2024-08-19 15:21:32.343140,443.4845,2024-08-19 15:21:32.343145,2024-08-19 15:21:32.674349,331.213,43703.0468
45,2024-08-19 15:21:32.674381,2024-08-19 15:21:33.123549,449.1718,2024-08-19 15:21:33.123554,2024-08-19 15:21:33.492590,369.0402,44521.2829
46,2024-08-19 15:21:33.492613,2024-08-19 15:21:33.972449,479.8395,2024-08-19 15:21:33.972454,2024-08-19 15:21:34.286202,313.7515,45314.8942
47,2024-08-19 15:21:34.286224,2024-08-19 15:21:34.723767,437.5461,2024-08-19 15:21:34.723771,2024-08-19 15:21:35.053854,330.0872,46082.5473
48,2024-08-19 15:21:35.053876,2024-08-19 15:21:35.486904,433.0316,2024-08-19 15:21:35.486909,2024-08-19 15:21:35.814775,327.8703,46843.4679
49,2024-08-19 15:21:35.814794,2024-08-19 15:21:36.252939,438.1478,2024-08-19 15:21:36.252942,2024-08-19 15:21:36.569652,316.7117,47598.3427
50,2024-08-19 15:21:36.569667,2024-08-19 15:21:37.015326,445.6619,2024-08-19 15:21:37.015329,2024-08-19 15:21:37.351229,335.9047,48379.9227
51,2024-08-19 15:21:37.351248,2024-08-19 15:21:37.792921,441.6754,2024-08-19 15:21:37.792924,2024-08-19 15:21:38.121717,328.7949,49150.408
52,2024-08-19 15:21:38.121735,2024-08-19 15:21:38.594404,472.6719,2024-08-19 15:21:38.594408,2024-08-19 15:21:38.940374,345.9704,49969.0668
53,2024-08-19 15:21:38.940392,2024-08-19 15:21:39.408890,468.501,2024-08-19 15:21:39.408894,2024-08-19 15:21:39.726142,317.2509,50754.8335
54,2024-08-19 15:21:39.726319,2024-08-19 15:21:40.156096,429.7788,2024-08-19 15:21:40.156099,2024-08-19 15:21:40.484974,328.8771,51513.6651
55,2024-08-19 15:21:40.484988,2024-08-19 15:21:40.917655,432.6689,2024-08-19 15:21:40.917657,2024-08-19 15:21:41.265299,347.644,52293.99
56,2024-08-19 15:21:41.265312,2024-08-19 15:21:41.712247,446.9389,2024-08-19 15:21:41.712251,2024-08-19 15:21:42.026961,314.713,53055.6533
57,2024-08-19 15:21:42.026981,2024-08-19 15:21:42.490113,463.1347,2024-08-19 15:21:42.490116,2024-08-19 15:21:42.813725,323.6107,53842.4154
58,2024-08-19 15:21:42.813740,2024-08-19 15:21:43.251842,438.1045,2024-08-19 15:21:43.251845,2024-08-19 15:21:43.576817,324.9749,54605.5086
59,2024-08-19 15:21:43.576835,2024-08-19 15:21:44.013272,436.4398,2024-08-19 15:21:44.013276,2024-08-19 15:21:44.368555,355.2821,55397.2466
60,2024-08-19 15:21:44.368570,2024-08-19 15:21:44.821345,452.7778,2024-08-19 15:21:44.821348,2024-08-19 15:21:45.131658,310.3122,56160.3488
61,2024-08-19 15:21:45.131678,2024-08-19 15:21:45.557782,426.1069,2024-08-19 15:21:45.557785,2024-08-19 15:21:45.873746,315.9626,56902.4369
62,2024-08-19 15:21:45.873758,2024-08-19 15:21:46.318561,444.8049,2024-08-19 15:21:46.318564,2024-08-19 15:21:46.683970,365.4085,57712.661
63,2024-08-19 15:21:46.683982,2024-08-19 15:21:47.136109,452.1295,2024-08-19 15:21:47.136112,2024-08-19 15:21:47.467830,331.7227,58496.5232
64,2024-08-19 15:21:47.467848,2024-08-19 15:21:47.941404,473.5591,2024-08-19 15:21:47.941408,2024-08-19 15:21:48.279760,338.3558,59308.4522
65,2024-08-19 15:21:48.279774,2024-08-19 15:21:48.713014,433.2415,2024-08-19 15:21:48.713016,2024-08-19 15:21:49.030044,317.0309,60058.736
66,2024-08-19 15:21:49.030081,2024-08-19 15:21:49.484693,454.6155,2024-08-19 15:21:49.484697,2024-08-19 15:21:49.839600,354.9047,60868.2907
67,2024-08-19 15:21:49.839612,2024-08-19 15:21:50.324993,485.3824,2024-08-19 15:21:50.324995,2024-08-19 15:21:50.661396,336.403,61690.0871
68,2024-08-19 15:21:50.661408,2024-08-19 15:21:51.088229,426.8224,2024-08-19 15:21:51.088231,2024-08-19 15:21:51.407964,319.7378,62436.6575
69,2024-08-19 15:21:51.407981,2024-08-19 15:21:51.846924,438.9454,2024-08-19 15:21:51.846927,2024-08-19 15:21:52.159186,312.2613,63187.877
70,2024-08-19 15:21:52.159198,2024-08-19 15:21:52.606514,447.3179,2024-08-19 15:21:52.606517,2024-08-19 15:21:52.943081,336.5666,63971.7721
71,2024-08-19 15:21:52.943093,2024-08-19 15:21:53.384676,441.5858,2024-08-19 15:21:53.384679,2024-08-19 15:21:53.706614,321.938,64735.3061
72,2024-08-19 15:21:53.706628,2024-08-19 15:21:54.134439,427.8144,2024-08-19 15:21:54.134443,2024-08-19 15:21:54.450828,316.3872,65479.5187
73,2024-08-19 15:21:54.450839,2024-08-19 15:21:54.969836,518.9994,2024-08-19 15:21:54.969839,2024-08-19 15:21:55.287693,317.8564,66316.3843
74,2024-08-19 15:21:55.287880,2024-08-19 15:21:55.718142,430.265,2024-08-19 15:21:55.718146,2024-08-19 15:21:56.073626,355.482,67102.3168
75,2024-08-19 15:21:56.073639,2024-08-19 15:21:56.508235,434.5982,2024-08-19 15:21:56.508237,2024-08-19 15:21:56.842966,334.7306,67871.6567
76,2024-08-19 15:21:56.842979,2024-08-19 15:21:57.276558,433.5824,2024-08-19 15:21:57.276561,2024-08-19 15:21:57.621474,344.9162,68650.1663
77,2024-08-19 15:21:57.621489,2024-08-19 15:21:58.117131,495.6446,2024-08-19 15:21:58.117134,2024-08-19 15:21:58.438050,320.9181,69466.7411
78,2024-08-19 15:21:58.438062,2024-08-19 15:21:58.873436,435.3773,2024-08-19 15:21:58.873440,2024-08-19 15:21:59.213426,339.9885,70242.117
79,2024-08-19 15:21:59.213438,2024-08-19 15:21:59.636859,423.4245,2024-08-19 15:21:59.636863,2024-08-19 15:22:00.018534,381.673,71047.225
80,2024-08-19 15:22:00.018548,2024-08-19 15:22:00.498012,479.4663,2024-08-19 15:22:00.498014,2024-08-19 15:22:00.817051,319.0388,71845.742
81,2024-08-19 15:22:00.817067,2024-08-19 15:22:01.321268,504.2036,2024-08-19 15:22:01.321271,2024-08-19 15:22:01.668683,347.4163,72697.3763
82,2024-08-19 15:22:01.668698,2024-08-19 15:22:02.130124,461.4287,2024-08-19 15:22:02.130127,2024-08-19 15:22:02.459426,329.3015,73488.1174
83,2024-08-19 15:22:02.459440,2024-08-19 15:22:02.950783,491.345,2024-08-19 15:22:02.950786,2024-08-19 15:22:03.277730,326.9461,74306.4208
84,2024-08-19 15:22:03.277747,2024-08-19 15:22:03.786801,509.0573,2024-08-19 15:22:03.786805,2024-08-19 15:22:04.173946,387.144,75202.6382
85,2024-08-19 15:22:04.173961,2024-08-19 15:22:04.621612,447.6531,2024-08-19 15:22:04.621615,2024-08-19 15:22:04.938732,317.1193,75967.423
86,2024-08-19 15:22:04.938744,2024-08-19 15:22:05.375444,436.7031,2024-08-19 15:22:05.375447,2024-08-19 15:22:05.695801,320.3573,76724.4933
87,2024-08-19 15:22:05.695817,2024-08-19 15:22:06.145679,449.8653,2024-08-19 15:22:06.145683,2024-08-19 15:22:06.470751,325.0706,77499.4424
88,2024-08-19 15:22:06.470766,2024-08-19 15:22:06.927613,456.8491,2024-08-19 15:22:06.927615,2024-08-19 15:22:07.241347,313.7336,78270.0378
89,2024-08-19 15:22:07.241363,2024-08-19 15:22:07.662113,420.7535,2024-08-19 15:22:07.662117,2024-08-19 15:22:08.001721,339.6073,79030.4128
90,2024-08-19 15:22:08.001735,2024-08-19 15:22:08.643436,641.7055,2024-08-19 15:22:08.643441,2024-08-19 15:22:08.992804,349.3668,80021.4968
91,2024-08-19 15:22:08.992821,2024-08-19 15:22:09.483513,490.6961,2024-08-19 15:22:09.483517,2024-08-19 15:22:09.821081,337.566,80849.772
92,2024-08-19 15:22:09.821096,2024-08-19 15:22:10.252186,431.093,2024-08-19 15:22:10.252190,2024-08-19 15:22:10.573393,321.2056,81602.084
93,2024-08-19 15:22:10.573407,2024-08-19 15:22:11.018064,444.6857,2024-08-19 15:22:11.018093,2024-08-19 15:22:11.331755,313.6642,82360.4457
94,2024-08-19 15:22:11.331769,2024-08-19 15:22:11.784669,452.9024,2024-08-19 15:22:11.784672,2024-08-19 15:22:12.125046,340.377,83153.738
95,2024-08-19 15:22:12.125060,2024-08-19 15:22:12.552732,427.6746,2024-08-19 15:22:12.552735,2024-08-19 15:22:12.888564,335.8332,83917.2576
96,2024-08-19 15:22:12.888606,2024-08-19 15:22:13.323192,434.5895,2024-08-19 15:22:13.323197,2024-08-19 15:22:13.642872,319.6798,84671.5657
97,2024-08-19 15:22:13.642892,2024-08-19 15:22:14.077872,434.9853,2024-08-19 15:22:14.077878,2024-08-19 15:22:14.394307,316.434,85423.0008
98,2024-08-19 15:22:14.394324,2024-08-19 15:22:14.845618,451.2972,2024-08-19 15:22:14.845621,2024-08-19 15:22:15.165345,319.727,86194.0373
99,2024-08-19 15:22:15.165359,2024-08-19 15:22:15.604448,439.0935,2024-08-19 15:22:15.604453,2024-08-19 15:22:15.952736,348.286,86981.4274
100,2024-08-19 15:22:15.952755,2024-08-19 15:22:16.425239,472.5,2024-08-19 15:22:16.425255,2024-08-19 15:22:16.742753,317.5011,87771.4454
101,2024-08-19 15:22:16.742771,2024-08-19 15:22:17.190094,447.3261,2024-08-19 15:22:17.190098,2024-08-19 15:22:17.518669,328.5751,88547.3617
102,2024-08-19 15:22:17.518688,2024-08-19 15:22:17.961772,443.0873,2024-08-19 15:22:17.961776,2024-08-19 15:22:18.283855,322.0835,89312.5482
103,2024-08-19 15:22:18.283877,2024-08-19 15:22:18.724422,440.5482,2024-08-19 15:22:18.724426,2024-08-19 15:22:19.053842,329.4195,90082.5348
104,2024-08-19 15:22:19.054023,2024-08-19 15:22:19.526537,472.5163,2024-08-19 15:22:19.526541,2024-08-19 15:22:19.857297,330.761,90885.9904
105,2024-08-19 15:22:19.857314,2024-08-19 15:22:20.301163,443.8529,2024-08-19 15:22:20.301167,2024-08-19 15:22:20.635870,334.707,91664.563
106,2024-08-19 15:22:20.635887,2024-08-19 15:22:21.081533,445.6498,2024-08-19 15:22:21.081538,2024-08-19 15:22:21.403545,322.0088,92432.2356
107,2024-08-19 15:22:21.403560,2024-08-19 15:22:21.848475,444.9184,2024-08-19 15:22:21.848479,2024-08-19 15:22:22.173902,325.4263,93202.5943
108,2024-08-19 15:22:22.173920,2024-08-19 15:22:22.618764,444.8481,2024-08-19 15:22:22.618769,2024-08-19 15:22:22.965201,346.436,93993.8938
109,2024-08-19 15:22:22.965243,2024-08-19 15:22:23.416688,451.4488,2024-08-19 15:22:23.416692,2024-08-19 15:22:23.751665,334.9764,94780.3574
110,2024-08-19 15:22:23.751684,2024-08-19 15:22:24.215397,463.7156,2024-08-19 15:22:24.215400,2024-08-19 15:22:24.555411,340.0134,95584.1022
111,2024-08-19 15:22:24.555423,2024-08-19 15:22:24.986494,431.0735,2024-08-19 15:22:24.986497,2024-08-19 15:22:25.322610,336.1151,96351.3008
112,2024-08-19 15:22:25.322621,2024-08-19 15:22:25.787201,464.583,2024-08-19 15:22:25.787204,2024-08-19 15:22:26.189194,401.9921,97217.8855
113,2024-08-19 15:22:26.189207,2024-08-19 15:22:26.682521,493.3168,2024-08-19 15:22:26.682524,2024-08-19 15:22:27.057358,374.8352,98086.0485
114,2024-08-19 15:22:27.057369,2024-08-19 15:22:27.537225,479.8593,2024-08-19 15:22:27.537229,2024-08-19 15:22:27.895048,357.8235,98923.7414
115,2024-08-19 15:22:27.895071,2024-08-19 15:22:28.357341,462.2746,2024-08-19 15:22:28.357346,2024-08-19 15:22:28.681868,324.526,99710.561
116,2024-08-19 15:22:28.681893,2024-08-19 15:22:29.120771,438.8815,2024-08-19 15:22:29.120776,2024-08-19 15:22:29.468640,347.8677,100497.3323
117,2024-08-19 15:22:29.468658,2024-08-19 15:22:29.893601,424.9468,2024-08-19 15:22:29.893606,2024-08-19 15:22:30.295651,402.0485,101324.3429
118,2024-08-19 15:22:30.295669,2024-08-19 15:22:30.725866,430.1996,2024-08-19 15:22:30.725869,2024-08-19 15:22:31.045402,319.5351,102074.093
119,2024-08-19 15:22:31.045414,2024-08-19 15:22:31.484418,439.0062,2024-08-19 15:22:31.484421,2024-08-19 15:22:31.811465,327.0484,102840.158
120,2024-08-19 15:22:31.811481,2024-08-19 15:22:32.258578,447.0998,2024-08-19 15:22:32.258581,2024-08-19 15:22:32.590263,331.684,103618.954
121,2024-08-19 15:22:32.590276,2024-08-19 15:22:33.026973,436.6995,2024-08-19 15:22:33.026976,2024-08-19 15:22:33.362855,335.8821,104391.5466
122,2024-08-19 15:22:33.362868,2024-08-19 15:22:33.929087,566.2219,2024-08-19 15:22:33.929091,2024-08-19 15:22:34.247625,318.5375,105276.3169
123,2024-08-19 15:22:34.247639,2024-08-19 15:22:34.737116,489.4806,2024-08-19 15:22:34.737120,2024-08-19 15:22:35.067543,330.4257,106096.2348
124,2024-08-19 15:22:35.067555,2024-08-19 15:22:35.505548,437.9958,2024-08-19 15:22:35.505551,2024-08-19 15:22:35.863522,357.975,106892.2151
125,2024-08-19 15:22:35.863560,2024-08-19 15:22:36.307236,443.6793,2024-08-19 15:22:36.307240,2024-08-19 15:22:36.626854,319.6174,107655.5464
126,2024-08-19 15:22:36.626869,2024-08-19 15:22:37.076676,449.811,2024-08-19 15:22:37.076680,2024-08-19 15:22:37.408112,331.4355,108436.8046
127,2024-08-19 15:22:37.408128,2024-08-19 15:22:37.862618,454.494,2024-08-19 15:22:37.862622,2024-08-19 15:22:38.176489,313.8699,109205.181
128,2024-08-19 15:22:38.176504,2024-08-19 15:22:38.633250,456.7493,2024-08-19 15:22:38.633253,2024-08-19 15:22:38.958433,325.1826,109987.1249
129,2024-08-19 15:22:38.958448,2024-08-19 15:22:39.387073,428.6281,2024-08-19 15:22:39.387076,2024-08-19 15:22:39.701237,314.1649,110729.9296
130,2024-08-19 15:22:39.701252,2024-08-19 15:22:40.132129,430.8806,2024-08-19 15:22:40.132133,2024-08-19 15:22:40.461667,329.5363,111490.3584
131,2024-08-19 15:22:40.461679,2024-08-19 15:22:40.899518,437.8414,2024-08-19 15:22:40.899521,2024-08-19 15:22:41.216690,317.1707,112245.3807
132,2024-08-19 15:22:41.216706,2024-08-19 15:22:41.662300,445.5974,2024-08-19 15:22:41.662305,2024-08-19 15:22:41.977772,315.4707,113006.4643
133,2024-08-19 15:22:41.977789,2024-08-19 15:22:42.410001,432.2152,2024-08-19 15:22:42.410005,2024-08-19 15:22:42.728878,318.8765,113757.5704
134,2024-08-19 15:22:42.728893,2024-08-19 15:22:43.190453,461.5624,2024-08-19 15:22:43.190456,2024-08-19 15:22:43.516401,325.9468,114545.0917
