Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
1,2024-08-19 15:17:14.168055,2024-08-19 15:17:24.109628,9938.4847,2024-08-19 15:17:24.109653,2024-08-19 15:17:24.435596,325.9545,10268.8837
2,2024-08-19 15:17:24.436132,2024-08-19 15:17:24.887001,450.8781,2024-08-19 15:17:24.887012,2024-08-19 15:17:25.202984,315.9815,11036.2688
3,2024-08-19 15:17:25.203017,2024-08-19 15:17:25.675085,472.0803,2024-08-19 15:17:25.675098,2024-08-19 15:17:25.985066,309.9773,11818.3501
4,2024-08-19 15:17:25.985187,2024-08-19 15:17:26.418729,433.5545,2024-08-19 15:17:26.418746,2024-08-19 15:17:26.720462,301.7331,12553.7539
5,2024-08-19 15:17:26.720504,2024-08-19 15:17:27.150520,430.0261,2024-08-19 15:17:27.150531,2024-08-19 15:17:27.461120,310.5973,13294.4028
6,2024-08-19 15:17:27.461159,2024-08-19 15:17:27.879999,418.8483,2024-08-19 15:17:27.880008,2024-08-19 15:17:28.183477,303.5048,14016.7875
7,2024-08-19 15:17:28.183544,2024-08-19 15:17:28.619795,436.1602,2024-08-19 15:17:28.619806,2024-08-19 15:17:28.924131,304.3352,14757.416
8,2024-08-19 15:17:28.924216,2024-08-19 15:17:29.320163,395.9632,2024-08-19 15:17:29.320180,2024-08-19 15:17:29.658783,338.6042,15492.0643
9,2024-08-19 15:17:29.658814,2024-08-19 15:17:30.094322,435.5134,2024-08-19 15:17:30.094328,2024-08-19 15:17:30.401868,307.5446,16235.148
10,2024-08-19 15:17:30.401901,2024-08-19 15:17:30.877411,475.5177,2024-08-19 15:17:30.877420,2024-08-19 15:17:31.168180,290.7666,17001.4612
11,2024-08-19 15:17:31.168238,2024-08-19 15:17:31.604861,436.6308,2024-08-19 15:17:31.604870,2024-08-19 15:17:31.921471,316.6076,17754.7525
12,2024-08-19 15:17:31.921512,2024-08-19 15:17:32.340215,418.71,2024-08-19 15:17:32.340224,2024-08-19 15:17:32.639653,299.4323,18472.931
13,2024-08-19 15:17:32.639679,2024-08-19 15:17:33.074585,434.9111,2024-08-19 15:17:33.074591,2024-08-19 15:17:33.389352,314.7661,19222.6316
14,2024-08-19 15:17:33.389386,2024-08-19 15:17:33.872788,483.4074,2024-08-19 15:17:33.872794,2024-08-19 15:17:34.195109,322.3189,20028.3901
15,2024-08-19 15:17:34.195148,2024-08-19 15:17:34.710138,514.9963,2024-08-19 15:17:34.710145,2024-08-19 15:17:35.039722,329.5815,20873.0017
16,2024-08-19 15:17:35.039753,2024-08-19 15:17:35.463777,424.021,2024-08-19 15:17:35.463782,2024-08-19 15:17:35.773809,310.0284,21607.0851
17,2024-08-19 15:17:35.773835,2024-08-19 15:17:36.193735,419.9019,2024-08-19 15:17:36.193738,2024-08-19 15:17:36.503959,310.2258,22337.2382
18,2024-08-19 15:17:36.504025,2024-08-19 15:17:36.945522,441.5009,2024-08-19 15:17:36.945526,2024-08-19 15:17:37.247353,301.8302,23080.6312
19,2024-08-19 15:17:37.247381,2024-08-19 15:17:37.650373,402.9956,2024-08-19 15:17:37.650377,2024-08-19 15:17:37.955655,305.2805,23788.9323
20,2024-08-19 15:17:37.955677,2024-08-19 15:17:38.368267,412.5938,2024-08-19 15:17:38.368272,2024-08-19 15:17:38.738681,370.413,24571.9592
21,2024-08-19 15:17:38.738706,2024-08-19 15:17:39.167930,429.2271,2024-08-19 15:17:39.167934,2024-08-19 15:17:39.467956,300.0271,25301.2355
22,2024-08-19 15:17:39.467988,2024-08-19 15:17:39.877452,409.4662,2024-08-19 15:17:39.877455,2024-08-19 15:17:40.177956,300.5037,26011.2333
23,2024-08-19 15:17:40.177980,2024-08-19 15:17:40.607791,429.815,2024-08-19 15:17:40.607795,2024-08-19 15:17:40.907455,299.663,26740.7328
24,2024-08-19 15:17:40.907479,2024-08-19 15:17:41.310988,403.5126,2024-08-19 15:17:41.310992,2024-08-19 15:17:41.616362,305.3721,27449.6388
25,2024-08-19 15:17:41.616387,2024-08-19 15:17:42.041178,424.7944,2024-08-19 15:17:42.041182,2024-08-19 15:17:42.334753,293.5745,28168.0314
26,2024-08-19 15:17:42.334782,2024-08-19 15:17:42.765744,430.9653,2024-08-19 15:17:42.765748,2024-08-19 15:17:43.082871,317.1257,28916.1482
27,2024-08-19 15:17:43.082895,2024-08-19 15:17:43.505860,422.9681,2024-08-19 15:17:43.505864,2024-08-19 15:17:43.814251,308.3991,29647.5374
28,2024-08-19 15:17:43.814284,2024-08-19 15:17:44.222189,407.9085,2024-08-19 15:17:44.222193,2024-08-19 15:17:44.521846,299.6559,30355.1238
29,2024-08-19 15:17:44.521881,2024-08-19 15:17:44.929543,407.6652,2024-08-19 15:17:44.929546,2024-08-19 15:17:45.219421,289.8769,31052.698
