Group,Upload Start Timestamp,Upload End Timestamp,Upload Delay (ms),Download Start Timestamp,Download End Timestamp,Download Delay (ms),Total Elapsed Time (ms)
1,2024-08-19 16:00:38.927456,2024-08-19 16:00:51.236836,12306.3313,2024-08-19 16:00:51.236864,2024-08-19 16:00:51.236865,0.0004,12310.7147
2,2024-08-19 16:00:51.237451,2024-08-19 16:00:51.716990,479.5586,2024-08-19 16:00:51.717011,2024-08-19 16:00:51.717012,0.0003,12790.8624
3,2024-08-19 16:00:51.717038,2024-08-19 16:00:52.205357,488.3344,2024-08-19 16:00:52.205373,2024-08-19 16:00:52.205374,0.0003,13279.2237
4,2024-08-19 16:00:52.205490,2024-08-19 16:00:52.642552,437.0776,2024-08-19 16:00:52.642572,2024-08-19 16:00:52.642573,0.0007,13716.4238
5,2024-08-19 16:00:52.642599,2024-08-19 16:00:53.071865,429.2772,2024-08-19 16:00:53.071877,2024-08-19 16:00:53.071877,0.0003,14145.7274
6,2024-08-19 16:00:53.071903,2024-08-19 16:00:53.505496,433.6046,2024-08-19 16:00:53.505508,2024-08-19 16:00:53.505508,0.0027,14579.3607
7,2024-08-19 16:00:53.505538,2024-08-19 16:00:53.934849,429.321,2024-08-19 16:00:53.934861,2024-08-19 16:00:53.934861,0.0003,15008.7114
8,2024-08-19 16:00:53.934949,2024-08-19 16:00:54.378128,443.1907,2024-08-19 16:00:54.378140,2024-08-19 16:00:54.378146,0.0008,15451.9962
9,2024-08-19 16:00:54.378169,2024-08-19 16:00:54.835239,457.0773,2024-08-19 16:00:54.835247,2024-08-19 16:00:54.835247,0.0006,15909.0976
10,2024-08-19 16:00:54.835275,2024-08-19 16:00:55.289151,453.8818,2024-08-19 16:00:55.289158,2024-08-19 16:00:55.289158,0.0005,16363.0087
11,2024-08-19 16:00:55.289188,2024-08-19 16:00:55.726701,437.5195,2024-08-19 16:00:55.726708,2024-08-19 16:00:55.726709,0.0005,16800.5592
12,2024-08-19 16:00:55.726744,2024-08-19 16:00:56.171551,444.8129,2024-08-19 16:00:56.171558,2024-08-19 16:00:56.171561,0.0005,17245.4115
13,2024-08-19 16:00:56.171585,2024-08-19 16:00:56.643199,471.6218,2024-08-19 16:00:56.643207,2024-08-19 16:00:56.643208,0.0005,17717.0579
14,2024-08-19 16:00:56.643230,2024-08-19 16:00:57.120853,477.6295,2024-08-19 16:00:57.120860,2024-08-19 16:00:57.120865,0.0005,18194.715
15,2024-08-19 16:00:57.120895,2024-08-19 16:00:57.552908,432.0315,2024-08-19 16:00:57.552927,2024-08-19 16:00:57.552928,0.0005,18626.7782
16,2024-08-19 16:00:57.552955,2024-08-19 16:00:57.987171,434.2233,2024-08-19 16:00:57.987179,2024-08-19 16:00:57.987208,0.0009,19061.0587
17,2024-08-19 16:00:57.987232,2024-08-19 16:00:58.417659,430.4314,2024-08-19 16:00:58.417664,2024-08-19 16:00:58.417664,0.0002,19491.5139
18,2024-08-19 16:00:58.417723,2024-08-19 16:00:58.830599,412.8809,2024-08-19 16:00:58.830604,2024-08-19 16:00:58.830604,0.0003,19904.4544
19,2024-08-19 16:00:58.830625,2024-08-19 16:00:59.269307,438.6858,2024-08-19 16:00:59.269311,2024-08-19 16:00:59.269312,0.0003,20343.1618
20,2024-08-19 16:00:59.269345,2024-08-19 16:00:59.685578,416.2358,2024-08-19 16:00:59.685582,2024-08-19 16:00:59.685582,0.0001,20759.4321
21,2024-08-19 16:00:59.685608,2024-08-19 16:01:00.089523,403.919,2024-08-19 16:01:00.089527,2024-08-19 16:01:00.089527,0.0002,21163.3773
22,2024-08-19 16:01:00.089552,2024-08-19 16:01:00.555136,465.5875,2024-08-19 16:01:00.555140,2024-08-19 16:01:00.555140,0.0002,21628.9899
23,2024-08-19 16:01:00.555163,2024-08-19 16:01:01.065697,510.5373,2024-08-19 16:01:01.065701,2024-08-19 16:01:01.065701,0.0002,22139.5508
24,2024-08-19 16:01:01.065722,2024-08-19 16:01:01.531622,465.9033,2024-08-19 16:01:01.531626,2024-08-19 16:01:01.531626,0.0002,22605.4758
25,2024-08-19 16:01:01.531652,2024-08-19 16:01:01.936677,405.0277,2024-08-19 16:01:01.936680,2024-08-19 16:01:01.936681,0.0004,23010.5311
26,2024-08-19 16:01:01.936705,2024-08-19 16:01:02.348543,411.8425,2024-08-19 16:01:02.348548,2024-08-19 16:01:02.348548,0.0002,23422.3981
27,2024-08-19 16:01:02.348576,2024-08-19 16:01:02.766311,417.739,2024-08-19 16:01:02.766315,2024-08-19 16:01:02.766316,0.0004,23840.1658
28,2024-08-19 16:01:02.766348,2024-08-19 16:01:03.176036,409.7033,2024-08-19 16:01:03.176052,2024-08-19 16:01:03.176053,0.0002,24249.9026
29,2024-08-19 16:01:03.176086,2024-08-19 16:01:03.626525,450.4426,2024-08-19 16:01:03.626528,2024-08-19 16:01:03.626529,0.0002,24700.3787
30,2024-08-19 16:01:03.626567,2024-08-19 16:01:04.055740,429.177,2024-08-19 16:01:04.055744,2024-08-19 16:01:04.055745,0.0002,25129.5946
31,2024-08-19 16:01:04.055771,2024-08-19 16:01:04.474335,418.5679,2024-08-19 16:01:04.474339,2024-08-19 16:01:04.474339,0.0002,25548.1894
32,2024-08-19 16:01:04.474379,2024-08-19 16:01:04.923793,449.4183,2024-08-19 16:01:04.923797,2024-08-19 16:01:04.923798,0.0002,25997.6475
33,2024-08-19 16:01:04.923812,2024-08-19 16:01:05.331850,408.0412,2024-08-19 16:01:05.331854,2024-08-19 16:01:05.331854,0.0002,26405.7041
34,2024-08-19 16:01:05.331869,2024-08-19 16:01:05.746711,414.8453,2024-08-19 16:01:05.746715,2024-08-19 16:01:05.746715,0.0002,26820.5652
35,2024-08-19 16:01:05.746732,2024-08-19 16:01:06.172704,425.9753,2024-08-19 16:01:06.172708,2024-08-19 16:01:06.172708,0.0003,27246.5578
36,2024-08-19 16:01:06.172724,2024-08-19 16:01:06.610301,437.5818,2024-08-19 16:01:06.610306,2024-08-19 16:01:06.610306,0.0002,27684.1562
