ts_in,ts_out,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-12 20:05:25.6477495,2024-08-12 20:05:25.6520431,5.8E-05,-0.785319,6E-06,-2.355979,7.5E-05,1.571081,0.785601,0.01,0.01
2024-08-12 20:05:25.6401035,2024-08-12 20:05:25.6520645,5.8E-05,-0.785319,6E-06,-2.355979,7.5E-05,1.571081,0.785601,0.01,0.01
2024-08-12 20:05:25.6598517,2024-08-12 20:05:25.6600201,5.4E-05,-0.785318,9E-06,-2.355974,7.3E-05,1.571081,0.785599,0.01,0.01
2024-08-12 20:05:25.6679072,2024-08-12 20:05:25.6680989,5.5E-05,-0.78532,1.1E-05,-2.355974,7.3E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:25.6800170,2024-08-12 20:05:25.6801698,5.5E-05,-0.785316,6E-06,-2.355979,7.1E-05,1.57108,0.785603,0.01,0.01
2024-08-12 20:05:25.6880834,2024-08-12 20:05:25.6882474,5.8E-05,-0.785323,1.1E-05,-2.355977,7.4E-05,1.571081,0.785603,0.01,0.01
2024-08-12 20:05:25.7002038,2024-08-12 20:05:25.7003845,5.7E-05,-0.785316,1.1E-05,-2.355971,7.3E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:25.7082659,2024-08-12 20:05:25.7084409,5.3E-05,-0.785318,9E-06,-2.355977,7.3E-05,1.571079,0.785597,0.01,0.01
2024-08-12 20:05:25.7203823,2024-08-12 20:05:25.7205502,5.3E-05,-0.785318,9E-06,-2.355971,7.4E-05,1.571081,0.7856,0.01,0.01
2024-08-12 20:05:25.7284353,2024-08-12 20:05:25.7285863,5.5E-05,-0.785318,9E-06,-2.355977,7.3E-05,1.571078,0.785601,0.01,0.01
2024-08-12 20:05:25.7405503,2024-08-12 20:05:25.7407272,5.8E-05,-0.78532,1.1E-05,-2.355971,7.3E-05,1.571079,0.785601,0.01,0.01
2024-08-12 20:05:25.7486093,2024-08-12 20:05:25.7487669,6E-05,-0.78532,1.1E-05,-2.355971,7.3E-05,1.571081,0.785603,0.01,0.01
2024-08-12 20:05:25.7586728,2024-08-12 20:05:25.7588488,5.5E-05,-0.785321,7E-06,-2.355974,7.4E-05,1.57108,0.785603,0.01,0.01
2024-08-12 20:05:25.7667291,2024-08-12 20:05:25.7669001,5.8E-05,-0.78532,9E-06,-2.355974,7.3E-05,1.571079,0.7856,0.01,0.01
2024-08-12 20:05:25.7788517,2024-08-12 20:05:25.7790260,5.8E-05,-0.785315,6E-06,-2.355974,7.5E-05,1.57108,0.785603,0.01,0.01
2024-08-12 20:05:25.7869103,2024-08-12 20:05:25.7870942,5.3E-05,-0.785318,9E-06,-2.355977,7.4E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:25.7990235,2024-08-12 20:05:25.7991931,5.2E-05,-0.785318,1.1E-05,-2.355977,7.1E-05,1.571081,0.785599,0.01,0.01
2024-08-12 20:05:25.8070885,2024-08-12 20:05:25.8072772,5.4E-05,-0.785318,1.1E-05,-2.355971,7.2E-05,1.57108,0.785605,0.01,0.01
2024-08-12 20:05:25.8192001,2024-08-12 20:05:25.8193662,5.5E-05,-0.785315,1.1E-05,-2.355974,7.3E-05,1.571081,0.7856,0.01,0.01
2024-08-12 20:05:25.8272643,2024-08-12 20:05:25.8274700,5.2E-05,-0.78532,1.1E-05,-2.355974,7.4E-05,1.571079,0.7856,0.01,0.01
2024-08-12 20:05:25.8393927,2024-08-12 20:05:25.8396777,5.5E-05,-0.785323,9E-06,-2.355977,7.2E-05,1.571082,0.785597,0.01,0.01
2024-08-12 20:05:25.8474440,2024-08-12 20:05:25.8476056,5.5E-05,-0.785318,1.1E-05,-2.355977,7.4E-05,1.571079,0.785598,0.01,0.01
2024-08-12 20:05:25.8595600,2024-08-12 20:05:25.8597451,5.8E-05,-0.785318,9E-06,-2.355974,7.2E-05,1.571079,0.785602,0.01,0.01
2024-08-12 20:05:25.8676201,2024-08-12 20:05:25.8677976,5.3E-05,-0.785316,9E-06,-2.355974,7.3E-05,1.57108,0.785602,0.01,0.01
2024-08-12 20:05:25.8797421,2024-08-12 20:05:25.8799170,5.5E-05,-0.785318,1.4E-05,-2.355974,7.3E-05,1.571078,0.785603,0.01,0.01
2024-08-12 20:05:25.8877971,2024-08-12 20:05:25.8879601,5.5E-05,-0.785318,1.1E-05,-2.355974,7.3E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:25.8999248,2024-08-12 20:05:25.9001367,5.5E-05,-0.785318,9E-06,-2.355971,7.4E-05,1.571082,0.785603,0.01,0.01
2024-08-12 20:05:25.9079766,2024-08-12 20:05:25.9081532,5.3E-05,-0.78532,6E-06,-2.355974,7.4E-05,1.571079,0.785604,0.01,0.01
2024-08-12 20:05:25.9200909,2024-08-12 20:05:25.9202615,5.8E-05,-0.785318,1.1E-05,-2.355969,7.3E-05,1.571078,0.785603,0.01,0.01
2024-08-12 20:05:25.9281483,2024-08-12 20:05:25.9283079,5.8E-05,-0.785318,9E-06,-2.355969,7.4E-05,1.571078,0.785603,0.01,0.01
2024-08-12 20:05:25.9402643,2024-08-12 20:05:25.9404381,5.6E-05,-0.785318,9E-06,-2.355971,7.4E-05,1.571081,0.785604,0.01,0.01
2024-08-12 20:05:25.9483215,2024-08-12 20:05:25.9484777,5.8E-05,-0.78532,1.1E-05,-2.355977,7.4E-05,1.57108,0.785603,0.01,0.01
2024-08-12 20:05:25.9604391,2024-08-12 20:05:25.9606025,5.5E-05,-0.785316,7E-06,-2.355977,7.4E-05,1.571077,0.785598,0.01,0.01
2024-08-12 20:05:25.9686328,2024-08-12 20:05:25.9688296,5.5E-05,-0.785323,9E-06,-2.355979,7.3E-05,1.571079,0.7856,0.01,0.01
2024-08-12 20:05:25.9786714,2024-08-12 20:05:25.9788253,5.5E-05,-0.78532,9E-06,-2.355971,7.3E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:25.9867440,2024-08-12 20:05:25.9869201,5.5E-05,-0.785316,1.1E-05,-2.355976,7.4E-05,1.571079,0.785597,0.01,0.01
2024-08-12 20:05:25.9988784,2024-08-12 20:05:25.9990932,5.6E-05,-0.785318,1.1E-05,-2.355971,7.4E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:26.0069230,2024-08-12 20:05:26.0070743,5.8E-05,-0.785318,9E-06,-2.355977,7.4E-05,1.57108,0.785601,0.01,0.01
2024-08-12 20:05:26.0190332,2024-08-12 20:05:26.0192048,5.3E-05,-0.78532,9E-06,-2.355977,7.5E-05,1.571081,0.785603,0.01,0.01
2024-08-12 20:05:26.0270941,2024-08-12 20:05:26.0272533,5.5E-05,-0.785323,1.1E-05,-2.355979,7.2E-05,1.571079,0.785604,0.01,0.01
2024-08-12 20:05:26.0392112,2024-08-12 20:05:26.0393820,6E-05,-0.785316,1.1E-05,-2.355977,7.3E-05,1.57108,0.785603,0.01,0.01
2024-08-12 20:05:26.0472933,2024-08-12 20:05:26.0474686,5.5E-05,-0.78532,9E-06,-2.355971,7.5E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.0594040,2024-08-12 20:05:26.0595701,6.1E-05,-0.785318,1.1E-05,-2.355979,7.4E-05,1.57108,0.785602,0.01,0.01
2024-08-12 20:05:26.0674597,2024-08-12 20:05:26.0676494,5.5E-05,-0.78532,3E-06,-2.355973,7.3E-05,1.571081,0.785599,0.01,0.01
2024-08-12 20:05:26.0795726,2024-08-12 20:05:26.0797359,6.3E-05,-0.78532,1.1E-05,-2.355971,7.2E-05,1.571078,0.7856,0.01,0.01
2024-08-12 20:05:26.0876357,2024-08-12 20:05:26.0878151,5.5E-05,-0.785323,1.1E-05,-2.355971,7.3E-05,1.57108,0.7856,0.01,0.01
2024-08-12 20:05:26.0997463,2024-08-12 20:05:26.0999123,5.1E-05,-0.785318,1.1E-05,-2.355971,7.4E-05,1.57108,0.785598,0.01,0.01
2024-08-12 20:05:26.1078051,2024-08-12 20:05:26.1079638,5.5E-05,-0.78532,6E-06,-2.355969,7.2E-05,1.57108,0.785597,0.01,0.01
2024-08-12 20:05:26.1199302,2024-08-12 20:05:26.1201202,5.5E-05,-0.78532,1.1E-05,-2.355974,7.5E-05,1.571079,0.785597,0.01,0.01
2024-08-12 20:05:26.1279834,2024-08-12 20:05:26.1281446,5.5E-05,-0.785321,1.1E-05,-2.355977,7.5E-05,1.571081,0.785602,0.01,0.01
2024-08-12 20:05:26.1401007,2024-08-12 20:05:26.1402800,5.3E-05,-0.785315,9E-06,-2.355974,7.3E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.1481569,2024-08-12 20:05:26.1483182,6E-05,-0.78532,1.1E-05,-2.355971,7.2E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.1602707,2024-08-12 20:05:26.1604317,5.5E-05,-0.785316,1.1E-05,-2.355974,7.3E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.1683253,2024-08-12 20:05:26.1684818,5.8E-05,-0.785313,9E-06,-2.355969,7.3E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.1804409,2024-08-12 20:05:26.1806055,5.1E-05,-0.78532,6E-06,-2.355969,7.4E-05,1.571081,0.785601,0.01,0.01
2024-08-12 20:05:26.1884995,2024-08-12 20:05:26.1886653,5.5E-05,-0.785324,1.4E-05,-2.355974,7.4E-05,1.57108,0.785602,0.01,0.01
2024-08-12 20:05:26.2006100,2024-08-12 20:05:26.2007841,5.8E-05,-0.785323,9E-06,-2.355971,7.4E-05,1.571078,0.785602,0.01,0.01
2024-08-12 20:05:26.2086716,2024-08-12 20:05:26.2088360,6.1E-05,-0.785326,9E-06,-2.355971,7.3E-05,1.571079,0.785603,0.01,0.01
2024-08-12 20:05:26.2187326,2024-08-12 20:05:26.2189111,5.5E-05,-0.785318,9E-06,-2.355971,7.2E-05,1.571077,0.785602,0.01,0.01
