ts_in,ts_out,delay,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-14 18:37:45.9024985,2024-08-14 18:37:45.9072051,4.7066,0.000125,-0.785189,0.000090,-2.355714,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:45.8949204,2024-08-14 18:37:45.9072064,12.286,0.000125,-0.785189,0.000090,-2.355714,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9145993,2024-08-14 18:37:45.9147730,0.1737,0.000125,-0.785196,0.000093,-2.355723,0.000373,1.571280,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9226701,2024-08-14 18:37:45.9228457,0.1756,0.000123,-0.785196,0.000093,-2.355714,0.000373,1.571277,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9347937,2024-08-14 18:37:45.9349616,0.1679,0.000122,-0.785193,0.000090,-2.355714,0.000372,1.571281,0.785877,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9428432,2024-08-14 18:37:45.9429845,0.1413,0.000120,-0.785201,0.000098,-2.355717,0.000375,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9549774,2024-08-14 18:37:45.9551555,0.1781,0.000123,-0.785192,0.000099,-2.355719,0.000373,1.571278,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9630278,2024-08-14 18:37:45.9631496,0.1218,0.000122,-0.785196,0.000093,-2.355717,0.000373,1.571281,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9751635,2024-08-14 18:37:45.9753361,0.1726,0.000122,-0.785202,0.000098,-2.355719,0.000375,1.571279,0.785878,0.0100000000000000,0.0100000
2024-08-14 18:37:45.9832194,2024-08-14 18:37:45.9833864,0.167,0.000123,-0.785198,0.000093,-2.355714,0.000372,1.571279,0.785884,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0176873,2024-08-14 18:37:46.0179102,0.2229,0.000122,-0.785191,0.000093,-2.355714,0.000375,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0185642,2024-08-14 18:37:46.0187582,0.194,0.000120,-0.785196,0.000096,-2.355717,0.000374,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0196162,2024-08-14 18:37:46.0197904,0.1742,0.000123,-0.785199,0.000096,-2.355714,0.000371,1.571278,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0236961,2024-08-14 18:37:46.0238722,0.1761,0.000123,-0.785194,0.000096,-2.355711,0.000373,1.571280,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0337653,2024-08-14 18:37:46.0339140,0.1487,0.000125,-0.785197,0.000093,-2.355719,0.000373,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0418328,2024-08-14 18:37:46.0420002,0.1674,0.000121,-0.785195,0.000098,-2.355714,0.000375,1.571278,0.785876,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0539441,2024-08-14 18:37:46.0540966,0.1525,0.000122,-0.785199,0.000093,-2.355722,0.000377,1.571279,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0620295,2024-08-14 18:37:46.0622071,0.1776,0.000125,-0.785194,0.000096,-2.355714,0.000373,1.571278,0.785875,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0741436,2024-08-14 18:37:46.0743189,0.1753,0.000123,-0.785196,0.000093,-2.355711,0.000374,1.571278,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0822141,2024-08-14 18:37:46.0824235,0.2094,0.000123,-0.785193,0.000096,-2.355719,0.000373,1.571280,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.0943638,2024-08-14 18:37:46.0945708,0.207,0.000122,-0.785198,0.000093,-2.355711,0.000373,1.571277,0.785883,0.0100000000000000,0.0100000
2024-08-14 18:37:46.1024248,2024-08-14 18:37:46.1025821,0.1573,0.000122,-0.785199,0.000091,-2.355716,0.000370,1.571280,0.785880,0.0100000000000000,0.0100000
2024-08-14 18:37:46.1145397,2024-08-14 18:37:46.1147260,0.1863,0.000123,-0.785198,0.000096,-2.355714,0.000374,1.571279,0.785881,0.0100000000000000,0.0100000
2024-08-14 18:37:46.1226138,2024-08-14 18:37:46.1227818,0.168,0.000123,-0.785202,0.000093,-2.355714,0.000375,1.571277,0.785878,0.0100000000000000,0.0100000
