ts_in,ts_out,JointPosition1,JointPosition2,JointPosition3,JointPosition4,JointPosition5,JointPosition6,JointPosition7,GripperData_Width,GripperData_Speed
2024-08-12 19:34:16.6009100,2024-08-12 19:34:16.6154558,0.000045,-0.785363,-0.000010,-2.356419,-0.000116,1.570623,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:16.6082883,2024-08-12 19:34:16.6157581,0.000045,-0.785363,-0.000010,-2.356419,-0.000116,1.570623,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:16.6203963,2024-08-12 19:34:16.6205789,0.000043,-0.785358,-0.000007,-2.356419,-0.000117,1.570624,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:16.6284678,2024-08-12 19:34:16.6286475,0.000042,-0.785358,-0.000007,-2.356422,-0.000116,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.6405809,2024-08-12 19:34:16.6407795,0.000040,-0.785363,-0.000007,-2.356416,-0.000116,1.570623,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.6486523,2024-08-12 19:34:16.6488152,0.000038,-0.785363,-0.000010,-2.356419,-0.000116,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.6587173,2024-08-12 19:34:16.6588927,0.000040,-0.785358,-0.000005,-2.356419,-0.000118,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.6667815,2024-08-12 19:34:16.6669357,0.000043,-0.785363,-0.000010,-2.356419,-0.000116,1.570620,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:16.6789111,2024-08-12 19:34:16.6790950,0.000046,-0.785361,-0.000007,-2.356421,-0.000115,1.570624,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:16.6869841,2024-08-12 19:34:16.6871661,0.000038,-0.785358,-0.000007,-2.356419,-0.000116,1.570620,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:16.6991018,2024-08-12 19:34:16.6992820,0.000043,-0.785358,-0.000008,-2.356417,-0.000117,1.570622,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.7071644,2024-08-12 19:34:16.7073518,0.000043,-0.785361,-0.000007,-2.356424,-0.000116,1.570620,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.7192889,2024-08-12 19:34:16.7194599,0.000043,-0.785361,-0.000010,-2.356414,-0.000117,1.570625,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.7273575,2024-08-12 19:34:16.7275124,0.000048,-0.785361,-0.000007,-2.356424,-0.000117,1.570622,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.7394668,2024-08-12 19:34:16.7396051,0.000043,-0.785356,-0.000013,-2.356422,-0.000117,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.7475427,2024-08-12 19:34:16.7477091,0.000048,-0.785358,-0.000007,-2.356422,-0.000116,1.570622,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:16.7596666,2024-08-12 19:34:16.7598801,0.000043,-0.785358,-0.000005,-2.356419,-0.000117,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.7677745,2024-08-12 19:34:16.7679686,0.000047,-0.785361,-0.000005,-2.356422,-0.000117,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.7799002,2024-08-12 19:34:16.7800787,0.000041,-0.785351,-0.000010,-2.356419,-0.000117,1.570622,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:16.7879576,2024-08-12 19:34:16.7881351,0.000040,-0.785361,-0.000007,-2.356421,-0.000116,1.570622,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:16.8000826,2024-08-12 19:34:16.8002734,0.000040,-0.785361,-0.000010,-2.356419,-0.000118,1.570626,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.8081537,2024-08-12 19:34:16.8083321,0.000043,-0.785361,-0.000005,-2.356421,-0.000116,1.570623,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.8202732,2024-08-12 19:34:16.8204525,0.000043,-0.785361,-0.000010,-2.356422,-0.000117,1.570622,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.8283359,2024-08-12 19:34:16.8285048,0.000045,-0.785366,-0.000007,-2.356419,-0.000118,1.570625,0.785595,0.010000000000000,0.010000
2024-08-12 19:34:16.8404708,2024-08-12 19:34:16.8406675,0.000040,-0.785353,-0.000005,-2.356422,-0.000118,1.570626,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:16.8485284,2024-08-12 19:34:16.8487000,0.000044,-0.785363,-0.000010,-2.356421,-0.000116,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.8586123,2024-08-12 19:34:16.8587872,0.000043,-0.785361,-0.000007,-2.356421,-0.000117,1.570619,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:16.8666709,2024-08-12 19:34:16.8668619,0.000048,-0.785356,-0.000013,-2.356427,-0.000117,1.570622,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:16.8787672,2024-08-12 19:34:16.8789764,0.000040,-0.785363,-0.000003,-2.356414,-0.000115,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.8868188,2024-08-12 19:34:16.8870495,0.000046,-0.785358,-0.000010,-2.356422,-0.000116,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.8989514,2024-08-12 19:34:16.8991486,0.000046,-0.785356,-0.000005,-2.356419,-0.000117,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.9070039,2024-08-12 19:34:16.9071873,0.000044,-0.785361,-0.000005,-2.356424,-0.000116,1.570623,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.9191186,2024-08-12 19:34:16.9192897,0.000040,-0.785358,-0.000007,-2.356422,-0.000116,1.570622,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.9272865,2024-08-12 19:34:16.9274411,0.000042,-0.785358,-0.000005,-2.356422,-0.000117,1.570624,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:16.9394166,2024-08-12 19:34:16.9396216,0.000045,-0.785358,-0.000005,-2.356422,-0.000116,1.570625,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:16.9474630,2024-08-12 19:34:16.9476084,0.000045,-0.785361,-0.000007,-2.356416,-0.000116,1.570627,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:16.9595986,2024-08-12 19:34:16.9598008,0.000041,-0.785356,-0.000010,-2.356422,-0.000118,1.570622,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.9676389,2024-08-12 19:34:16.9677801,0.000043,-0.785361,-0.000005,-2.356416,-0.000117,1.570621,0.785588,0.010000000000000,0.010000
2024-08-12 19:34:16.9797774,2024-08-12 19:34:16.9799709,0.000043,-0.785361,-0.000010,-2.356419,-0.000117,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:16.9878362,2024-08-12 19:34:16.9880363,0.000045,-0.785361,-0.000007,-2.356424,-0.000117,1.570621,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:16.9999573,2024-08-12 19:34:17.0001725,0.000045,-0.785361,-0.000007,-2.356424,-0.000118,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.0080202,2024-08-12 19:34:17.0082258,0.000038,-0.785361,-0.000005,-2.356422,-0.000118,1.570622,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:17.0201343,2024-08-12 19:34:17.0203391,0.000043,-0.785363,-0.000005,-2.356419,-0.000116,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.0281978,2024-08-12 19:34:17.0283866,0.000045,-0.785366,-0.000007,-2.356422,-0.000117,1.570623,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.0403094,2024-08-12 19:34:17.0404877,0.000046,-0.785361,-0.000007,-2.356421,-0.000118,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:17.0483735,2024-08-12 19:34:17.0485624,0.000041,-0.785358,-0.000005,-2.356419,-0.000117,1.570625,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:17.0604855,2024-08-12 19:34:17.0606700,0.000046,-0.785358,-0.000005,-2.356424,-0.000115,1.570624,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:17.0685396,2024-08-12 19:34:17.0687019,0.000048,-0.785361,-0.000010,-2.356422,-0.000117,1.570624,0.785588,0.010000000000000,0.010000
2024-08-12 19:34:17.0785937,2024-08-12 19:34:17.0787743,0.000043,-0.785364,-0.000007,-2.356421,-0.000117,1.570625,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:17.0866691,2024-08-12 19:34:17.0868929,0.000041,-0.785358,-0.000005,-2.356416,-0.000116,1.570623,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.0987850,2024-08-12 19:34:17.0990024,0.000041,-0.785363,-0.000010,-2.356427,-0.000118,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1068494,2024-08-12 19:34:17.1070321,0.000041,-0.785356,-0.000007,-2.356413,-0.000118,1.570623,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.1189711,2024-08-12 19:34:17.1191699,0.000043,-0.785358,-0.000005,-2.356419,-0.000118,1.570621,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.1270312,2024-08-12 19:34:17.1272146,0.000046,-0.785356,-0.000007,-2.356424,-0.000118,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1391604,2024-08-12 19:34:17.1393484,0.000043,-0.785358,-0.000007,-2.356416,-0.000117,1.570623,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1472183,2024-08-12 19:34:17.1474024,0.000045,-0.785358,-0.000005,-2.356421,-0.000118,1.570623,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.1593343,2024-08-12 19:34:17.1595157,0.000041,-0.785358,-0.000007,-2.356416,-0.000117,1.570622,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1673943,2024-08-12 19:34:17.1675712,0.000042,-0.785358,-0.000007,-2.356422,-0.000116,1.570625,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1794865,2024-08-12 19:34:17.1796743,0.000041,-0.785358,-0.000013,-2.356422,-0.000118,1.570621,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.1875530,2024-08-12 19:34:17.1877445,0.000042,-0.785356,-0.000010,-2.356419,-0.000115,1.570622,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:17.1996636,2024-08-12 19:34:17.1998446,0.000046,-0.785353,-0.000005,-2.356419,-0.000115,1.570623,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:17.2077370,2024-08-12 19:34:17.2079227,0.000042,-0.785356,-0.000005,-2.356421,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.2198458,2024-08-12 19:34:17.2200346,0.000046,-0.785363,-0.000007,-2.356419,-0.000118,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.2279144,2024-08-12 19:34:17.2280891,0.000040,-0.785358,-0.000005,-2.356418,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.2400472,2024-08-12 19:34:17.2402611,0.000043,-0.785363,-0.000007,-2.356419,-0.000118,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.2481119,2024-08-12 19:34:17.2483096,0.000039,-0.785363,-0.000010,-2.356424,-0.000117,1.570622,0.785594,0.010000000000000,0.010000
2024-08-12 19:34:17.2602272,2024-08-12 19:34:17.2604148,0.000045,-0.785363,-0.000007,-2.356416,-0.000118,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.2682983,2024-08-12 19:34:17.2684978,0.000045,-0.785366,-0.000007,-2.356419,-0.000116,1.570623,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.2804082,2024-08-12 19:34:17.2805906,0.000043,-0.785363,-0.000007,-2.356419,-0.000118,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.2884669,2024-08-12 19:34:17.2886331,0.000042,-0.785361,-0.000007,-2.356419,-0.000117,1.570622,0.785591,0.010000000000000,0.010000
2024-08-12 19:34:17.3005926,2024-08-12 19:34:17.3008023,0.000043,-0.785361,-0.000007,-2.356421,-0.000115,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.3086503,2024-08-12 19:34:17.3088258,0.000040,-0.785358,-0.000010,-2.356424,-0.000115,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.3187066,2024-08-12 19:34:17.3188704,0.000043,-0.785363,-0.000010,-2.356419,-0.000117,1.570625,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:17.3267839,2024-08-12 19:34:17.3269784,0.000037,-0.785358,-0.000005,-2.356427,-0.000117,1.570622,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.3388961,2024-08-12 19:34:17.3390836,0.000041,-0.785358,-0.000007,-2.356421,-0.000117,1.570624,0.785592,0.010000000000000,0.010000
2024-08-12 19:34:17.3469589,2024-08-12 19:34:17.3471358,0.000046,-0.785358,-0.000007,-2.356422,-0.000115,1.570623,0.785595,0.010000000000000,0.010000
2024-08-12 19:34:17.3590794,2024-08-12 19:34:17.3592827,0.000043,-0.785366,-0.000002,-2.356419,-0.000117,1.570625,0.785590,0.010000000000000,0.010000
2024-08-12 19:34:17.3671247,2024-08-12 19:34:17.3672900,0.000040,-0.785361,-0.000007,-2.356419,-0.000115,1.570623,0.785589,0.010000000000000,0.010000
2024-08-12 19:34:17.3792628,2024-08-12 19:34:17.3794656,0.000040,-0.785363,-0.000007,-2.356421,-0.000116,1.570624,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.3994416,2024-08-12 19:34:17.3996557,0.000040,-0.785356,-0.000010,-2.356421,-0.000117,1.570623,0.785593,0.010000000000000,0.010000
2024-08-12 19:34:17.4099574,2024-08-12 19:34:17.4101762,0.000040,-0.785358,-0.000007,-2.356422,-0.000117,1.570623,0.785592,0.010000000000000,0.010000
